,Ulasan,Label,clean_teks
714,"barang sampe, sablon miring",0,barang sampe sablon miring
715,Barang nya ga dateng tpi tulisannya sudah datang,0,barang nya ga dateng tulis
716,Gabisa d pake. Ga nyala sama sekali,0,gabisa d pake ga nyala
717,"Sudah chat minta nota tapi g dikasih,dimintain solusi gak dibalas,barang dikirim tanpa bubblewarp.mohon diperbaiki pelayanan kedepannya !",0,chat nota g dikasihdimintain solusi gak dibalasbarang kirim bubblewarpmohon baik layan depan
718,"Barang tak terkirim, tpi udah refund kok",0,barang kirim udah refund
719,kabelnya lumayan Cuman kurang cocok untuk ap outdoor,0,kabel lumayan cuman cocok ap outdoor
720,"Murah boleh lah tapi jangan kedekut, kasih dus buat packing nya jadi barang ga ancur macam nih.",0,murah kedekut kasih dus packing nya barang ga ancur nih
721,"Paking ga pake babelwraap,barang ga sesuai pesanan,ada 1 dus genius isi logitec ,wrna juga ga sesuai...parah,jadi ragu ori bukan barangnya,ga sesuai deskripsi",0,paking ga pake babelwraapbarang ga sesuai pesananada dus genius isi logitec wrna ga sesuaiparahjadi ragu ori barangnyaga sesuai deskripsi
722,"paket sudah diterima,packing ala kadarnya",0,paket diterimapacking ala kadar
723,Kirimnya ga sesuai pesen warna biru dikirim warna putih....... kecewa -_-,0,kirim ga sesuai sen warna biru kirim warna putih kecewa --
724,"cepet rusak analognya, jadi skrg pake yg normal lagi...kurang bagus",0,cepet rusak analog skrg pake normal lagikurang bagus
725,"barang sudah sampai,,respon cpat lumayan gan",0,barang sampairespon cpat lumayan gan
726,"BARANG RUSAK DIJUAL, KIPAS KAGA MUTER",0,barang rusak jual kipas kaga muter
727,Barangnya pecah ketika sampai,0,barang pecah
728,sangat tidak recommend. tidak sesuai gambar (kualitas sangat rendah). kipas mau copot. waktu sampai barang nya patah dan penjual tidak ada respon sama sekali.,0,recommend sesuai gambar kualitas rendah kipas copot barang nya patah jual respon
729,Jelek Tidak bagus 👎👎👎👎👎,0,jelek bagus
730,Baru dipake sehari udh rusak,0,dipake hari udh rusak
731,walau barang berbeda tetapi respons penjual cukup bagus,0,barang beda respons jual bagus
732,barang sampai sesuai deskripsi tapi kenapa waktu di pakai langsung rusak ya? kayaknya ga kuat tenaga nya klo sampai 10 meter.... klo pakai yang pendek bisa jalan,0,barang sesuai deskripsi pakai langsung rusak ya kayak ga kuat tenaga nya klo meter klo pakai pendek jalan
733,"Barang tidak bisa di pakai, gak ada merek, gak ada quality check slot usm female gak bisa buat dimasukin usb male 🙂 seller juga gak gentle karna sudah request cancel masih saja di kirim 🙂",0,barang pakai gak merek gak quality check slot usm female gak dimasukin usb male seller gak gentle karna request cancel kirim
734,"Agak beda dengan gambar produk yg dipajang (merk &amp; bungkusnya) yg digambar lebih kokoh penguatnya ada merk juga.. yang ini beda polos banget, USB lama kedeteknya di PC, sudah kedetek lama bukanya padahal dimasukin slot USB 3.0, pakai modem jg putus2 arusnya. Sepertinya kepanjangan walaupun pake penguat. Kalo Seller respon cepat Recomended cuma kendala di kurir pengiriman saja.",0,beda gambar produk pajang merk amp bungkus gambar kokoh kuat merk beda polos banget usb kedeteknya pc kedetek buka dimasukin slot usb pakai modem jg putus arus panjang pake kuat kalo seller respon cepat rekomen ed kendala kurir kirim
735,"Maaf Gan, bintangnya cuma 2...
Ketika dipasang di laptop saya, gambar yang dihasilkan dari usb ke hdmi, resolusinya malah turun....",0,maaf gan bintang pasang laptop gambar hasil usb hdmi resolusi turun
736,mkc y ...........................,0,mkc y
737,"mantap soul deh seller ini
barang rusak dikirim sy retur
untunglah uang saya kembali walau nunggu lama g masalah dah",0,mantap soul deh seller barang rusak kirim sy retur untung uang nunggu g dah
738,Kalau tokonya mau di nilai dengan baik berikan juga pelayanan yang baik buat pembeli....saya kecewa karena dia bagian antenanya ada bagian yang patah parah. Pekingnya kurang bagus..dusnya penyok,0,toko nilai layan pembelisaya kecewa antena patah parah peking bagusdusnya penyok
739,"-Pesan 2,satu oke tapi satu mal fungsi/tidak berfungsi
Mau di komplen harus retur dan ongkir bolak balik 18rb
Mending beli baru deh di lain toko
Padahal sudah dikasih catatan agar dicek sebelumnya
- untuk masalah pengiriman saya pakai gojek instan, proses sebentar saja langsung dikirim
-Tolong QC lebih diperhatikan lagi
-Mereknya juga bukan M-Tech seperti di gambar, tapi nisuta, haduh parah deh",0,-pesan oke mal fungsi tidak fungsi komplen retur ongkir bolak rb mending beli deh toko kasih catat cek - kirim pakai gojek instan proses sebentar langsung kirim -tolong qc perhati -mereknya m-tech gambar nisuta haduh parah deh
740,Kecewa sekali barang baru diterima udah remuk,0,kecewa barang terima udah remuk
741,Pesen M-Tech yang Datang Merk NISUA.... AMPUUUUN....,0,sen m-tech merk nisua ampuuuun
742,Barang yang dikirim tidak sesuai dengan yang dipesan.,0,barang kirim sesuai pes
743,"Barang sampai dengan tidak selamat, entah rusak di kurir atau dari penjual, 1 bagian stick patah dan tidak berfungsi, kecewa gan :)",0,barang selamat rusak kurir jual stick patah fungsi kecewa gan
744,Speakernya tidak stereo alias MONO,0,speakernya stereo alias mono
745,Barang nya sampai jne yang salah mungkin gara² ke lempar atau apa jadi gak bisa di pakai,0,barang nya jne salah gara lempar gak pakai
746,"Tidak berfungsi dengan baik, hanya bisa untuk mouse",0,fungsi mouse
747,Isi product ga sesuai gambarnya dan pesanan,0,isi product ga sesuai gambar pesan
748,"Produk tidak berfungsi..tidak dapat menjangkau wifi yang hanya jarak 100M saja..

Saya kecewa..",0,produk berfungsitidak jangkau wifi jarak m kecewa
749,Barang Sampai Cepat tapi Kok tidak bisa digunakan yaa,0,barang cepat yaa
750,"Walaupun barang yang ente kirim rusak, tapi pelayanan ente memuaskan Bintang 6 akan saya berikan, toko ini not recomended, kapok dah belanja di toko ini.",0,barang ente kirim rusak layan ente muas bintang toko not rekomen ed kapok dah belanja toko
751,"barang sesuai,, tapi pengiriman masalah  mustinya gran cepet jadi nunda 3 hari",0,barang sesuai kirim mustinya gran cepet nunda
752,Okokokokololokokokok,0,okokokokololokokokok
753,Kualitas produk sangat buruk baru 4 hari pakai sudah tidak berfungsi,0,kualitas produk buruk pakai fungsi
754,Kualitas ga bagus.. tidak bsa untuk POE router cma kedip2 aja...Yaaa sesuai sih sama harga,0,kualitas ga bagus bsa poe router cma kedip ajayaaa sesuai sih harga
755,Tidak berfungsi..........,0,fungsi
756,"Saya pakai untuk jarak kira2 12 meter, ditambah keatas dan kebawah sekitar 7 meter, tapi kabelnya pas banget panjangnya. Padahal sengaja pilih yg 30 meter karena takut kalau pilih yg 20 menter terlalu ketat. Kesimpulannya adalah panjang kabel TIDAK JUJUR, BUKAN 30 METER.",0,pakai jarak meter tambah atas bawah meter kabel pas banget panjang sengaja pilih meter takut pilih ter ketat simpul kabel jujur meter
757,Panjang asli 25m bukan 30m,0,asli m m
758,Pesan yg 30M barang datang diukur hanya 20M,0,pesan m barang ukur m
759,Penjual tidak melakukan pengechekan produk dengan baik. Sehingga barang yang sampai rusak . Semoga tidak terulang kwmbali.Semoga sukses,0,jual pengechekan produk barang rusak moga ulang kwmbalisemoga sukses
760,Pengiriman sehari nympe 3 hari....ga sesuai...bikin khawatir aja.,0,kirim hari nympe hariga sesuaibikin khawatir aja
761,"Tidak sesuai deskripsi, yang saya terima 24m kurang",0,sesuai deskripsi terima m
762,"Tidak berfungsi, barang jelek, tokonya jg tukang tipu, beli 3 kirim 1",0,fungsi barang jelek toko jg tukang tipu beli kirim
763,Kaya dikasi barang bekas pakai,0,kaya kasi barang bekas pakai
764,"Yang di kirim ke saya bukan sesuai FA180PM111, tetapi untungnya masi bisa di pake di laptop saya....",0,kirim sesuai fapm untung mas pake laptop
765,Barang baru 24 hari udah mledak.. Ngeriii,0,barang udah mledak ngeriii
766,"Spec barang yg datang tidak sesuai gambar (68+ series, 4300 mAh)

Battery yg kami terima 68 series, kapasitas hanya 1910 mAh...mohon respon nya kak



After 3 days of no reliable response...
---please update gambar &amp; deskripsi sesuai stock---",0,spec barang sesuai gambar series mah battery terima series kapasitas mahmohon respon nya kak after days of no reliable response ---please update gambar amp deskripsi sesuai stock---
767,Ga kepake. Jelek . Rusak,0,ga kepake jelek rusak
768,payahh.. blum 1 bulan udah rusak,0,payahh udah rusak
769,Relatif cepat tetapi ada baiknya untuk check qualitas barang sebelum kirim Cz baru d pake kabel konslet,0,relatif cepat baik check qualitas barang kirim cz d pake kabel konslet
770,"Ancurrrr,, dikasihnya barang bekas, udah gitu Rusak pula, Payah kalau tidak korporatif, kecewa sangat !!!",0,ancurrrr kasih barang bekas udah gitu rusak payah korporatif kecewa
771,"Produk sesuai dengan deskripsi yang tertera, tapi keyboard toskhiba satellite c640 yang saya pesan tombol CAPLOCK tidak berfungsi.",0,produk sesuai deskripsi tera keyboard toskhiba satellite c pesan tombol caplock fungsi
772,Barangnya beda dari bawaan laptopnya,0,barang beda bawa laptop
773,"beli barang ga bs pake,giliran minta kembali uang,minta dipotong ongkir.drpd ga dibalikin,mau gamau ngikutin.",0,beli barang ga bs pakegiliran uangminta potong ongkirdrpd ga dibalikinmau gamau ngikutin
774,"/):&amp;,).’jaksjsksmnbgb!$:)/$/&amp;&amp;",0,amp jaksjsksmnbgb ampamp
775,"Pengiriman pertama bermasalah, baterai kembung, g bisa dipasang.., retur.., pengiriman kedua secara fisik bagus, tapi baterai tidak bisa dipakai, sudah di charge penuh, saat charger dicabut, laptop langsung mati.., karena sudah konfirmasi penerimaan, kami sedang mengupayakan proses klaim garansi.., rating akan diupdate lagi nanti...,
Ulasan ini bersifat sementara, akan diupdate setelah ada solusi...,
Terima kasih AS Komputer",0,kirim masalah baterai kembung g pasang retur kirim fisik bagus baterai pakai charge penuh charger cabut laptop langsung mati konfirmasi terima upaya proses klaim garansi rating diupdate ulas sifat diupdate solusi terima kasih as komputer
776,Battery nya ke detect not support. Ada saran?,0,battery nya detect not support saran
777,"Bintang 2 dulu krn barangnya rusak, mau retur. Masih nunggu rules dari seller",0,bintang krn barang rusak retur nunggu rules seller
778,"barang kw,penjual tdk mau tanggung jawab",0,barang kwpenjual tanggung
779,"Katanya Garansi 30hari, tapi pas di mintavalamatnya utk retur di persulit",0,garansi pas mintavalamatnya utk retur sulit
780,khusus yg ini yg dikirim kualitas barangnya jelek. ada beberapa tombol lepas dan g bisa dipasang lagi.,0,khusus kirim kualitas barang jelek tombol lepas g pasang
781,"Barang sudah sampai, Setelah di pakai,. Ternyata ada 10 tombol yg Rusak/tidak merespon ,. Termasuk Tombol Space ,.",0,barang pakai tombol rusak tidak merespon tombol space
782,Mas ini yg huruf W S X gk bisa mas,0,mas huruf w s x gk mas
783,"tombol banyak yg macet bos,,lain kali tlng di cek dulu",0,tombol macet boslain kali tlng cek
784,produk tdk compatibel dgn acer sy,0,produk compatibel acer sy
785,"Bagusnya sebelum di kirim, di coba terlebih dahulu aja boss..
Ongkir 3x di tanggung pembeli mmg keberatan.",0,bagus kirim coba aja boss ongkir x tanggung beli mmg berat
786,"kualitas kurang bagus..belum sebulan batre nya drop hingg kapasitas tersisa yang bisa di charge cuma 75% saja dari original max nya,,di chat minta garansi tidak pernah di balas...maaf saya review begini karena anda pun tidak pernah respon lagi",0,kualitas bagusbelum bulan batre nya drop hingg kapasitas sisa charge original max nyadi chat garansi balasmaaf review respon
787,Kwalitas baterai kurang bagus. Belum 1 Bulan kondisi tinggal 80%.....,0,kwalitas baterai bagus kondisi tinggal
788,"Ternyata baru sebulan pakai, baterainya rusak sudah tidak terbaca di macbook. Sebelumnya juga sering banget ngedrop jauh",0,bulan pakai baterai rusak baca macbook banget ngedrop
789,"Sangat mengecewakan barang yang di terima tidak sesuai dengan foto yang dipajang dilapak, foto nomor 1 adalah barang pajangan sedang foto  nomor 2 barang yang saya terima, mohon maaf atas ketidak nyamanan dgn ulasan ini,  semoga kedepannya bisa menjadi lebih baik, dan menjadi pelajaran bagi kita semua",0,kecewa barang terima sesuai foto pajang lapak foto nomor barang pajang foto nomor barang terima mohon maaf tidak nyaman ulas moga depan ajar
790,"hdd sudah pernah dipakai kurang lebih 3 tahun, padahal di deskripsi ditulis baru.",0,hdd pakai deskripsi tulis
791,"Order bareng charger laptop, tapi yang dikirim cuma charger saja, Hardisk tidak dikirim tanpa konfirmasi sebelumnya, harusnya kalau stok kosong di infokan dong, biar bisa nyari ditempat lain jadi gak rugi waktu. untung dana bisa kembali lagi. Trima kasih tokopedia. Buat seller lain kali yang teliti ya.",0,order bareng charger laptop kirim charger hardisk kirim konfirmasi stok kosong info biar nyari tempat gak rugi untung dana trima kasih tokopedia seller kali teliti ya
792,"Packing barang rapi... Chat penjual cepat... Tapi pengiriman sangat lambat.. tidak sesuai pesanan.. saya order minggu pakai same day dgn go send nyampenya hari kamis malam dgn jne...tanpa ada konfirmasi
Barang sedang saya test... Saya harap kualitas barang melebihi kualitas pengiriman tokonya..",0,packing barang rapi chat jual cepat kirim lambat sesuai pesan order minggu pakai same day go send nyampenya kamis malam jnetanpa konfirmasi barang test harap kualitas barang lebih kualitas kirim toko
793,Order batre sony vaio mbulet. Pelayanan Aftersale buruk. Pake tragedi salah barang juga yang dikirim,0,order batre sony vaio mbulet layan aftersale buruk pake tragedi salah barang kirim
794,"Gan baterai nya kok ga kedeteksi ya di sony vaio saya, kalo dari seri sama tp ga kedetek gan.
mohon infonya tks",0,gan baterai nya ga deteksi ya sony vaio kalo seri tp ga kedetek gan mohon info tks
795,Maaf gan kok gk sesuai sama gambar/foto yg dideskripsi ya? Gmn nh gan?,0,maaf gan gk sesuai gambar foto deskripsi ya gmn nh gan
796,Barang yang dikirim tidak ada backlit sesuai di deskripsi,0,barang kirim backlit sesuai deskripsi
797,"Sebulan pertama sih puas, meskipun ada satu dua key yang kok dirasa ga smooth seperti keyboard bawaan yg rusak.

Kira-kira sebulan setengah setelah masa pembelian baru muncul errornya. Beberapa tombol sudah tidak berjalan dengan semestinya.

Dan sepertinya memang saya harus beli keyboard asli bawaan thinkpad..",0,bulan sih puas key rasa ga smooth keyboard bawa rusak bulan beli muncul errornya tombol jalan mesti beli keyboard asli bawa thinkpad
798,"Produk tdk ssuai gambar,, trus ad bagian yg sdh cacat.. Ketika d charge sbntar.. Adaptor sdh panas berlebihan. Thx..",0,produk ssuai gambar trus ad cacat d charge sbntar adaptor panas thx
799,Brg yg diterima tdk sesuai,0,barang terima sesuai
800,Barang yg dikirim output voltage nya 19V - 1.58A gak sesuai dengan apa yg ada di deskripsi output voltage nya 19.5V - 2.05A.,0,barang kirim output voltage nya v - a gak sesuai deskripsi output voltage nya v - a
801,lama kalo buat ngecas cuma lumayan lah dari pada ga ada!!!,0,kalo ngecas lumayan ga
802,"pengiriman cepat, packing bagus, sayang kedetect ama lenovo not genuine. 
saya lagi apes kali.
trims",0,kirim cepat packing bagus sayang kedetect ama lenovo not genuine apes kali terima kasih
803,"Produk rusak, tdk bisa digunakan. Sudah komplain ke penjual trus disuruh tukar. Setelah Batre dikirim ke penjual, penjual tdk merespon lagi. Kecewa.",0,produk rusak komplain jual trus suruh tukar batre kirim jual jual merespon kecewa
804,Ghkljhvghhjjjkmlmbhhuuiookhgffddderyhhhjjjjkkk,0,ghkljhvghhjjjkmlmbhhuuiookhgffddderyhhhjjjjkkk
805,"Barang nya gak cocok sama ASUS X45A, Mouse gerak-gerak sendiri dan tidak bisa di pakai.",0,barang nya gak cocok asus xa mouse gerak pakai
806,"Barang sesuai, tapi sayang rusak gak bisa dipakai",0,barang sesuai sayang rusak gak pakai
807,"Produk tidak pernah diterima, keterangan tokonya bahwa sudah dipickup menipu, toko tidak komunikatif dengan customernya",0,produk terima terang toko dipickup tipu toko komunikatif customernya
808,"saya baru pakai untuk 10 menit tapi charger sudah panas banget, tolong dibantu ini diretur apa gimana ya ? waktu sebelum beli tanya juga katanya original",0,pakai menit charger panas banget tolong bantu retur gimana ya beli original
809,"Sebelum memesan/beli barang ini, saya mendapatkan konfirmasi dari penjual bahwa charger ini dapat digunakan utk mencharge laptop asus zen book flip saya. Dalam kenyataan nya tidak bisa",0,mes beli barang konfirmasi jual charger utk mencharge laptop asus zen book flip nyata nya
810,"Barang bagus..kurang sesuai untuk  acer E5-476G,saya paksakan lcd nya bermasalah",0,barang baguskurang sesuai acer e-gsaya paksa lcd nya masalah
811,"Yg hitam sesuai,.. tpi GK tau ORI apa ngak,.. yg colour sepertinya ngak",0,hitam sesuai gk tau ori ngak colour ngak
812,"Catridge-nya tidak bisa di gunakan di printer saya HP Deskjet-4515 muncul error ""Incompatible Catridge, The indicated catridges are not intended for use inthis printer""

Mohon bantuannya",0,catridge-nya printer hp deskjet- muncul error incompatible catridge the indicated catridges are not intended for use inthis printer mohon bantu
813,pesanan nyampenya lama,0,pesan nyampenya
814,"Pak. Ini tinta nya palsu pak. Diblg di comp saya ""counterfeit product"". Hasil tinta mengecewakan. Tlg dicek lg produk nya pak.",0,tinta nya palsu diblg comp counterfeit product hasil tinta kecewa tlg cek lg produk nya
815,"Tahun catridgenya uda expayer 03.2017 dan diantarnya sangat lama , kasi penjelasan gan tahun nya biar tau.",0,catridgenya uda expayer antar kasi jelas gan nya biar tau
816,Parah dah... Saya minta 34 dikasih 31,0,parah dah kasih
817,bajunya sangat pendek untuk ukuran baju koko.. padahal lebarnya seperti ukuran xl.,0,baju pendek ukur baju koko lebar ukur xl
818,Ini aku gajadi beli yaa. Soalnya stoknya kosong,0,gajadi beli yaa stok kosong
819,Kekecilan ga sesuai standart ukuran nya.,0,kecil ga sesuai standart ukur nya
820,"Untuk produk ini saya kasi 2 bintang saja krna celananya tdk sesuai yg di foto, celanax kependekan tdk di bawa lutut, sisanya  👍",0,produk kasi bintang krna celana sesuai foto celanax pendek bawa lutut sisa
821,Kecewa ga sesuai gambar .. ga ada stripnya .. ukuran udah pas.,0,kecewa ga sesuai gambar ga strip ukur udah pas
822,"Barang Bagus Sih
Cuma Bau Sekali
Harus di cuci dulu sblum di pakai :v",0,barang bagus sih bau cuci sblum pakai v
823,"Saya kasih 2 bintang saja ya supaya lain kali diperhatikan barang yg dipajang judulnya apa. Judul barang sudah mencantumkan warna, jadi di keterangan pembeli saya tidak mencantumkan warna lagi, cuma ukuran. Untungnya saya juga males ribet mengembalikan dan minta tukar.",0,kasih bintang ya kali perhati barang pajang judul judul barang cantum warna terang beli cantum warna ukur untung males ribet kembali tukar
824,X ini saya kecewe gak bisa di pakai kecil dan mbranjang...,0,x kecewe gak pakai mbranjang
825,"barang sudah diterima dalam kondisi baik,..
tapi tdk sesuai menurut saya,..
dipoto yang make orang dewasa, aslinya kecil bgt,..
buat anak bayi cocoknya,..",0,barang terima kondisi sesuai dipoto make orang dewasa asli bgt anak bayi cocok
826,Tidak sesuai pesanan..respon lambat! Sangat tidak rekomend ini toko! Disuru retur dengan alasan tokopedia yang ganti ongkir..sejak kapan tokopedia bisa ganti ongkos kirim!!!,0,sesuai pesananrespon lambat rekomend toko disuru retur alas tokopedia ganti ongkirsejak tokopedia ganti ongkos kirim
827,Tolong tingkatkan respons cepat. Minta kirim gojek same day malah sampe nya besok.,0,tolong tingkat respons cepat kirim gojek same day sampe nya besok
828,"barang yang dikirim Tidak sesuai dengan gambar, warna nya pun kusam.",0,barang kirim sesuai gambar warna nya kusam
829,"Ternyata bahannya gk bs melar,,jd wlwpun bebas size tetap gk muat wlw udh ukuran terakhir...",0,bahan gk bs melarjd wlwpun bebas size gk muat wlw udh ukur
830,jahitan kurang bagus. ada celah besar saya khawatir dipakai 1x robek itu celana,0,jahit bagus celah khawatir pakai x robek celana
831,barang kurang bagus...tdk sama dgn picture,0,barang bagustdk picture
832,bahan nya tipis dan panas kurang enak dipake,0,bahan nya tipis panas enak dipake
833,Dibagian kantong sebelah kirinya robek :((((,0,bagi kantong belah kiri robek
834,"ukurannya kekecilan kalau normal saya pakai ukuran L, disini ukurannya sangat kecil untuk L.",0,ukur kecil normal pakai ukur l ukur l
835,brang udh smpek trma ksih gan,0,brang udh smpek trma ksih gan
836,Barang ny pecah dan kesamaan saya mta ganti,0,barang ny pecah sama mta ganti
837,Ooooooookkkkkkkkkkkk,0,ooooooookkkkkkkkkkkk
838,yaaa begitulah harga sesuai dengan kwalita barang....,0,yaaa harga sesuai kwalita barang
839,jadi agak susah nekuk dengkul. overall bagus. semoga usahanya lancar.,0,susah nekuk dengkul overall bagus moga usaha lancar
840,barang ok udah sampai. tapi yg dateng beda warna dgn yg difoto.,0,barang ok udah dateng beda warna foto
841,"Saya memesan dua deker kaki seperti yang dilihat difoto.. yang Merk Remora pas bisa dipakai sedangkan yang satunya tidak bisa dinaikkan karen terlalu kecil karena ternyata ukuran M relatif. Memang saya punya yang remora dan maka ukuran Remora saya gunakan sebagai acuan, Penjual seharusnya memberitahu bahwa  ukuran M untuk kedua barang tidak sama dan perlu mberitahukan kepada pembeli bahwa pembelian decker tidak bisa ditukarkan....sehingga sewaktu akan membeli ada pertimbangan tersebut..... Jadi bukan sepenuhnya kesalahan kami dan penjual punya kewajiban moral untuk menjaga hubungan dengan customers..",0,mes deker kaki foto merk remora pas pakai satu naik karen ukur m relatif remora ukur remora acu jual memberitahu ukur m barang mberitahukan beli beli decker ditukarkansehingga beli timbang sepenuh salah jual wajib moral jaga hubung customers
842,informasi pengiriman tidak sesuai.......,0,informasi kirim sesuai
843,"Deker nya kekecilan, bisa ditukar gan ?",0,deker nya kecil tukar gan
844,barang yang dikirim tidak sesuai sengan gambar. trima,0,barang kirim sesuai seng gambar trima
845,terima kasih barang sudah sampai tujuan walaupun lama banget,0,terima kasih barang tuju banget
846,"terima kasih gan, barang udah nyampe dan kondisinya bagus... tapi lama sekali nunggunya gan",0,terima kasih gan barang udah nyampe kondisi bagus nunggunya gan
847,"Bolanya keras juga ya, tapi bagus la harga segitu",0,bola keras ya bagus la harga segitu
848,"Size bola kecil, katanya size 7 ternyata barang yg datang size 6. Harga masuk akal.",0,size bola size barang size harga masuk akal
849,"bahanna tipis ,cepet sobek :(.....",0,bahanna tipis cepet sobek
850,"Di Catatan  penjual  berat 6 kg dgn harapan net lumayan  bagus  nyatanya  cuma 4kg berarti bahannya tipis  jaring tipis,  dijual  850 rb,  pen jual lain kwalitas sama di tokopedia 550 rb.",0,catat jual berat kg harap net lumayan bagus kg bahan tipis jaring tipis jual rb pen jual kwalitas tokopedia rb
851,"Respon penjual cepat. Barang sampai juga cepat. Namun kualitas barang tidak sesuai deskripsi. Begitu net dipasang,  penguncinya langsung putus.",0,respon jual cepat barang cepat kualitas barang sesuai deskripsi net pasang kunci langsung putus
852,ok ok ok ko ok ko ok ok ok ok ok ok bu k ok,0,ok ok ok ko ok ko ok ok ok ok ok ok bu k ok
853,Pengiriman cepat kualitas agak kurang,0,kirim cepat kualitas
854,sudah diterima pesanannya. tkyuuu,0,terima pesan tkyuuu
855,makasih barang sudah saya terima .......,0,makasih barang terima
856,bagusss untuk visuall cuma quality nya :(,0,bagusss visuall quality nya
857,"barang cepat sampai, packing aman, rapih 
product tidak ada cacat",0,barang cepat packing aman rapih product cacat
858,ikatan ujung kurang kuat sehingga baru dpake bbrp kali sudah lepas,0,ikat ujung kuat dpake bbrp kali lepas
859,Fast Respon ! Good job.............................................................,0,cepat respon bagus job
860,barang sudah diterima dg baik. maaf reviewnya telat,0,barang terima dg maaf reviewnya telat
861,kualitas kurang... ada bagian agak retas,0,kualitas retas
862,brgnya gak ori bro..soalnya ane bandingin dg tetangga yg ori..tks sdh sampai brgnya..,0,barang nya gak ori brosoalnya ane bandingin dg tetangga oritks barang nya
863,sesuai gambar tapi sayang matrasnya licin klo buat yoga..,0,sesuai gambar sayang matras licin klo yoga
864,brg sdh ditrima... trims... tapi matrasnya licin,0,barang ditrima terima kasih matras licin
865,paket udah keterima terimakasih,0,paket udah terima terimakasih
866,"barangnya bagus, tapi respon agak lama...",0,barang bagus respon
867,"barang nya bagus,tidak mengecewakan",0,barang nya bagustidak kecewa
868,thanks sis paketnya sudah sampai,0,thanks sis paket
869,sip.............................................................,0,sip
870,"2 pasang berbeda, yg 1 pasang bagus, yg 1 pasang lagi jelek, plastik pelapisnya berputar/goyang",0,pasang beda pasang bagus pasang jelek plastik lap putar goyang
871,barangnya sudah sampaaaai......,0,barang sampaaaai
872,ya begitulah. .......................... ........,0,ya
873,"standart banget yg ini boss,,,waduh",0,standart banget bosswaduh
874,"barangnya beda sama yang di pesan blinya ini tpi datangnya beda lain kali kalok gak sama yang d pesan fotonya d hapus aja pasti itu foto lama yang d pajang 
bikin kecewa aja",0,barang beda pesan blinya datang beda kali kalok gak d pesan foto d hapus aja foto d pajang bikin kecewa aja
875,tidak sesuai gambar ... kw atau apa ya ... rupa sama ... tap beda sama yg dlu pernah saya beli ... apakah versi 2015 nya ... blm di coba ... mdah mdhan z tidak mengecewakan pas udah di pake ... thankq,0,sesuai gambar kw ya rupa tap beda dlu beli versi nya blm coba mdah mdhan z kecewa pas udah pake thankq
876,"barang udah d terima,tingal nyoba!",0,barang udah d terimatingal nyoba
877,di kira punchinf pad gde tp g papa makasi,0,punchinf pad gde tp g papa makas
878,barang banyak goresan jadi saya pikir itu barang bekas yg d jual lgi,0,barang gores pikir barang bekas d jual lgi
879,"busa biasa di baliknya, menyesal telah membelinya. fotonya kurang lengkap",0,busa balik sesal bel foto lengkap
880,Pengantaran cepat cuman barangnya udah tidak lengket bgain biru dan kuningnya,0,antar cepat cuman barang udah lengket bgain biru kuning
881,"Barang tidak sesuai pesanan, barang tidak ori",0,barang sesuai pesan barang ori
882,"Bahan berbeda, lain kali lebih konsisten",0,bahan beda kali konsisten
883,"kirain bagus. ya, sesuai harganya murah.",0,kirain bagus ya sesuai harga murah
884,"ada 4 biji penyok semua, sayang bgt",0,biji penyok sayang bgt
885,Kualitas barangnys kurang bagus,0,kualitas barangnys bagus
886,brg oke dan kualitas bagus punya. nambun tidak ada cara pemakainya,0,barang oke kualitas bagus nambun maka
887,"Kemasan produk penyok semua, walaupun produk didalam masih aman.
Tapi sangat kecewa dengan jasa pengiriman JNE. Sangat lamaaaa.
Padahal produk sudah ada dari senin, tp hari kamis baru diantar. Padahal jarak kantor JNE dng alamat yg dituju hanya butuh 5 menit dengan sepeda.
Sangat kecewa dengan jasa pengirimannya.",0,kemas produk penyok produk dalam aman kecewa jasa kirim jne lamaaaa produk senin tp kamis antar jarak kantor jne dng alamat tuju butuh menit sepeda kecewa jasa kirim
888,pengantaran bagus cuman bikin rubber bat tambah rusak kw?,0,antar bagus cuman bikin rubber bat rusak kw
889,Saya kira harga lebih mahal jaminan bagus.. trnyata packingnya gak rapih dan bungkusnya cuma pake kardus seadanya.,0,harga mahal jamin bagus trnyata packingnya gak rapih bungkus pake kardus ada
890,"menunggu lumayan melelahkan,............
..",0,tunggu lumayan lelah
891,pengiriman sesuai waktu..tp barang sesuai bintang aja deh..,0,kirim sesuai waktutp barang sesuai bintang aja deh
892,Bahan ny bagus gx mudah melar,0,bahan ny bagus mudah melar
893,gk panjang seperti yg di gambar,0,gk gambar
894,"Kualitas karet sangat tipis, pantulan bola oleh kayu bet terdengar keras",0,kualitas karet tipis pantul bola kayu bet dengar keras
895,barang tidak sesuai dgn yg di harapkan,0,barang sesuai harap
896,"paket diterima, ad sedikit cacat di bagian gagang disebabkn bungkus pecah. yg lain  gk ad masalah. terimakasih, mudh2an usaha makin laris dan lancar dan pelayanan semakin baiK",0,paket terima ad cacat gagang disebabkn bungkus pecah gk ad terimakasih mudhan usaha laris lancar layan
897,Gambar /pic warna coklat koq di kasihnya warna hitam,0,gambar pic warna coklat koq kasih warna hitam
898,Kaca tetap berembun dan membuat kaca jd kotor,0,kaca embun kaca jd kotor
